书名,作者,评分,评价,评价人数,出版日期,单价,URL
盗墓笔记3,南派三叔 ,8.4,逼近死亡的云顶天宫之旅,31478, 2007-11 , 26.80元,https://book.douban.com/subject/2298149/
麦琪的礼物,[美] 欧·亨利 ,8.6,日常的奇迹,30589, 2003-7 , 25.00元,https://book.douban.com/subject/1051193/
格林童话全集,格林兄弟 ,8.9,许多隐晦,29504, 1994-11 , 21.45元,https://book.douban.com/subject/1043008/
如何阅读一本书,[美] 莫提默·J. 艾德勒 ,8.4,读书的方法论,34469, 2004-1 , 38.00元,https://book.douban.com/subject/1013208/
当我们谈论爱情时我们在谈论什么,[美] 雷蒙德·卡佛 ,7.8,疏离而断裂，生活的冷与干涩,33590, 2010-1 , 22.00元,https://book.douban.com/subject/4010969/
尘埃落定,阿来 ,8.4,一个傻子的土司家族传奇,31235, 1998-3-1 , 22.0,https://book.douban.com/subject/1080309/
水仙已乘鲤鱼去,张悦然 ,7.8,暴食与减肥的桥段印象深刻,30990, 2005-1 , 19.00元,https://book.douban.com/subject/1018153/
历史深处的忧虑,林达 ,9.0,窥见美国社会的一扇窗,28686, 1997-5 , 19.00元,https://book.douban.com/subject/1027191/
嫌疑人X的献身,东野圭吾 ,9.0,,33090, 2014-6 , 35.00元,https://book.douban.com/subject/25924253/
小时代2.0虚铜时代,郭敬明 ,6.3,淳朴自贡少年十里洋场欲海翻波为哪般,35940, 2010-1 , 26.80元,https://book.douban.com/subject/4038164/
金锁记,张爱玲 ,8.5,曹七巧就像希克厉，一个扭曲的英雄,30462, 2005-6 , 13.5元,https://book.douban.com/subject/3017857/
你好，旧时光（上 下）,八月长安 ,8.8,原作名切题,29774, 2009-12 , 39.80元,https://book.douban.com/subject/4166819/
东霓,笛安 ,8.1,自毁而偏执的东霓,30466, 2010-7-1 , 26.80元,https://book.douban.com/subject/4874131/
海贼王,尾田荣一郎 ,9.5,热血，梦想，希望,26706, 2007-11 , 7.50元,https://book.douban.com/subject/1474773/
那些回不去的年少时光,桐华 ,8.5,所有你曾热爱却正在遗忘的人和事,29765, 2010-01 , 23.80元,https://book.douban.com/subject/4231381/
孩子你慢慢来,龙应台 ,8.8,我们现在怎样做母亲,30324, 2009-12-1 , 28.00元,https://book.douban.com/subject/4207781/
橙,安东尼 ,8.2,定做一个刻着“不过如此”的章，盖在封面上,28622, 2010-10 , 28.80元,https://book.douban.com/subject/5327697/
悲惨世界（上中下）,[法] 雨果 ,8.9,现实主义与浪漫主义的至高杰作,27695, 1992-6 , 66.00元,https://book.douban.com/subject/1205054/
盗墓笔记4,南派三叔 ,8.4,蛇沼鬼城，坑越挖越多了,29232, 2008-11 , 32.80元,https://book.douban.com/subject/3266344/
巴别塔之犬,[美] 卡罗琳·帕克丝特 ,7.7,超越语言与生死的爱,29875, 2007-7 , 22.00元,https://book.douban.com/subject/2139305/
香水,[德] 帕·聚斯金德 ,8.5,恋味癖谋杀案,28108, 2005-5 , 20.00元,https://book.douban.com/subject/1292416/
梦里花落知多少,三毛 ,8.9,哀而不伤,29130, 2007-6 , 28.00元,https://book.douban.com/subject/2070844/
一只特立独行的猪,王小波 ,8.8,生活就是个缓慢受锤的过程，至少还可以特立独行,29952, 2006-4 , 18.80元,https://book.douban.com/subject/1767945/
局外人,[法] 阿尔贝·加缪 ,9.0,,37058, 2010-9 , 22.00元,https://book.douban.com/subject/4908885/
一个人的朝圣,【英】蕾秋·乔伊斯 ,8.1,,33794, 2013-9-1 , 32.80,https://book.douban.com/subject/24934182/
史蒂夫·乔布斯传,[美] 沃尔特·艾萨克森 ,8.7,完美主义者的最高形态,28259, 2011-10-24 , 68.00元,https://book.douban.com/subject/6798611/
看不见的城市,[意大利]伊塔洛·卡尔维诺 ,8.8,每一座城市都只在想象中耸立，又在描述中坍圮,27255, 2006-8 , 16.00元,https://book.douban.com/subject/1863930/
长恨歌,王安忆 ,8.2,现代上海史诗,29863, 2003-8 , 22.00元,https://book.douban.com/subject/1082349/
匆匆那年（上下）,九夜茴 ,8.3,不悔梦归处 只恨太匆匆,27752, 2008-1 , 29.00,https://book.douban.com/subject/2567919/
草样年华,孙睿 ,7.2,大学生活启蒙读物,30154, 2004-1 , 19.50元,https://book.douban.com/subject/1007334/
往事并不如烟,章诒和 ,8.6,知识分子的命运浮沉,26883, 2004-1 , 35.00元,https://book.douban.com/subject/1059336/
蔷薇岛屿,安妮宝贝 ,8.0,你们不会彼此遗忘。只会彼此消失,27807, 2002-8 , 18.00元,https://book.douban.com/subject/1063190/
我的路,寂地 ,8.6,忧郁的温暖,26135, 2004-10 , 20.00元,https://book.douban.com/subject/1431836/
菊与刀,（美）鲁思・本尼迪克特 ,8.2,复杂矛盾的日本民族,29816, 1990-6 , 16.00,https://book.douban.com/subject/1022238/
倾城之恋,张爱玲 ,8.7,棋逢对手，心照不宣,27030, 2006-12 , 29.80元,https://book.douban.com/subject/1985223/
刀锋,[英]毛姆 ,9.0,,29465, 2007-3 , 18.00元,https://book.douban.com/subject/2035162/
球状闪电,刘慈欣 ,8.7,量子之外，没有真相,28049, 2005-6 , 22.00元,https://book.douban.com/subject/1192090/
谁动了我的奶酪？,[美] 斯宾塞·约翰逊 ,7.1,鸡汤文始祖,30670, 2001-9 , 16.80元,https://book.douban.com/subject/1021056/
飞鸟集,[印] 罗宾德拉纳德·泰戈尔 ,8.8,淡泊，超脱,26239, 2004-6 , 16.80元,https://book.douban.com/subject/1058661/
七夜雪,沧月 ,8.4,抵不过时间,26089, 2006-10 , 25.00元,https://book.douban.com/subject/1919201/
曾有一个人，爱我如生命,舒仪 ,7.5,一见嘉遇误终身,27932, 2009-3 , 23.80,https://book.douban.com/subject/3506871/
那些年，我们一起追的女孩,九把刀 ,8.2,那些年错过的大雨,26738, 2007-1 , 20.00元,https://book.douban.com/subject/1958227/
伊豆的舞女,[日] 川端康成 ,8.2,静美又残酷，无限柔软的川端,27742, 2002-2 , 23.80元,https://book.douban.com/subject/1005521/
世界尽头与冷酷仙境,[日] 村上春树 ,8.6,交叉平行蒙太奇,26449, 2002-12 , 23.00元,https://book.douban.com/subject/1291809/
傲慢与偏见,[英] 奥斯丁 ,9.0,百般曲折，终成眷属,26302, 1996-12 , 11.00元,https://book.douban.com/subject/1401841/
最初的爱情 最后的仪式,[英] 伊恩·麦克尤恩 ,8.0,别被封面骗了,26783, 2010-2 , 22.00元,https://book.douban.com/subject/4011440/
鬼吹灯之云南虫谷,天下霸唱 ,8.0,恐虫症慎入,27214, 2006-11 , 26.80元,https://book.douban.com/subject/1926103/
明朝那些事儿（柒）：大结局,当年明月 ,8.9,大明崇祯万万年,25490, 2009-4 , 29.80元,https://book.douban.com/subject/3626924/
把时间当作朋友,李笑来 ,8.5,,26755, 2009-6 , 32.00元,https://book.douban.com/subject/3609132/
秘密,[澳] 朗达·拜恩 ,7.3,吸引力法则,28898, 2008-11 , 32.00,https://book.douban.com/subject/3266968/
天使与魔鬼,[美] 丹.布朗 ,8.2,科学与宗教的大乱斗,26305, 2005-2 , 29.80元,https://book.douban.com/subject/1228110/
拆掉思维里的墙,古典 ,7.9,解放思想，实事求是,27614, 2010-9 , 29.80元,https://book.douban.com/subject/4953695/
明朝那些事儿（陆）,当年明月 ,8.8,党争不息，西山日薄,25620, 2008-11 , 28.80,https://book.douban.com/subject/3274113/
佛祖在一号线,李海鹏 ,8.2,嬉笑怒骂的常识分子,25558, 2010-6 , 25.00元,https://book.douban.com/subject/4872671/
倚天屠龙记(共四册),金庸 ,8.5,不识张郎是张郎,25982, 1999-04 , 0,https://book.douban.com/subject/1070851/
阿狸·梦之城堡,hans ,9.0,治愈,24024, 2009-1 , 36.80元,https://book.douban.com/subject/3554154/
杜拉拉2华年似水,李可 ,7.3,杜拉拉跳槽记,27307, 2009-1 , 28.00,https://book.douban.com/subject/3323987/
不朽,落落 ,7.6,所有须臾，化为不朽,26582, 2007-12 , 22.00,https://book.douban.com/subject/2382705/
