排名,影片名称,演职人员,得分,评价,电影海报URL
1,肖申克的救赎,"导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...
                            1994 / 美国 / 犯罪 剧情",9.7,希望让人自由。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
2,霸王别姬,"导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性",9.6,风华绝代。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
3,阿甘正传,"导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...
                            1994 / 美国 / 剧情 爱情",9.5,一部美国近现代史。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
4,泰坦尼克号,"导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
                            1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难",9.4,失去的才是永恒的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
5,这个杀手不太冷,"导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
                            1994 / 法国 美国 / 剧情 动作 犯罪",9.4,怪蜀黍和小萝莉不得不说的故事。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
6,美丽人生,"导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997 / 意大利 / 剧情 喜剧 爱情 战争",9.6,最美的谎言。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
7,千与千寻,"导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
                            2001 / 日本 / 剧情 动画 奇幻",9.4,最好的宫崎骏，最好的久石让。 ,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
8,辛德勒的名单,"导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
                            1993 / 美国 / 剧情 历史 战争",9.6,拯救一个人，就是拯救整个世界。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
9,盗梦空间,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险",9.4,诺兰给了我们一场无法盗取的梦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg
10,忠犬八公的故事,"导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...
                            2009 / 美国 英国 / 剧情",9.4,永远都不能忘记你所爱的人。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
11,星际穿越,"导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险",9.4,爱是一种力量，让我们超越时空感知它的存在。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
