排名,影片名词,主演,上演时间,得分,电影海报URL
15,楚门的世界,"主演：金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998(罗马尼亚),8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
16,触不可及,"主演：弗朗索瓦·克鲁塞,奥马·希,安娜·勒尼",2011-11-02(法国),9.1,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
17,辛德勒的名单,"主演：连姆·尼森,拉尔夫·费因斯,本·金斯利",1993-11-30(美国),9.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
18,情书,"主演：中山美穗,丰川悦司,酒井美纪",1999-03-01,8.9,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
19,寻梦环游记,"主演：安东尼·冈萨雷斯,本杰明·布拉特,盖尔·加西亚·贝纳尔",2017-11-24,9.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
20,摔跤吧！爸爸,"主演：阿米尔·汗,沙克希·坦沃,法缇玛·萨那·纱卡",2017-05-05,9.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
21,何以为家,"主演：赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔",2019-04-29,9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
22,少年派的奇幻漂流,"主演：苏拉·沙玛,伊尔凡·可汗,塔布",2012-11-22,9.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
23,小丑,"主演：华金·菲尼克斯,罗伯特·德尼罗,亚历克·鲍德温",2019-10-04(美国),8.6,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
24,忠犬八公的故事,"主演：Forest,理查·基尔,琼·艾伦",2009-06-13(美国),9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
25,泰坦尼克号,"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",1998-04-03,9.4,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
26,当幸福来敲门,"主演：威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008-01-17,9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
27,天堂电影院,"主演：菲利浦·诺瓦雷,雅克·贝汉,马克·莱昂纳蒂",2021-06-11,9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
28,你的名字。,"主演：上白石萌音,佟心竹,神木隆之介",2016-12-02,9.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
29,熔炉,"主演：孔刘,郑裕美,金智英",2011-09-22(韩国),8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
30,三傻大闹宝莱坞,"主演：阿米尔·汗,卡琳娜·卡普,马德哈万",2011-12-08,9.1,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
31,放牛班的春天,"主演：热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004-10-16,8.8,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
32,看不见的客人,"主演：马里奥·卡萨斯,阿娜·瓦格纳,何塞·卡罗纳多",2017-09-15,9.4,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
33,教父,"主演：马龙·白兰度,阿尔·帕西诺,詹姆斯·凯恩",2015-04-18,9.3,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
34,龙猫,"主演：秦岚,糸井重里,岛本须美",2018-12-14,9.2,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
35,头号玩家,"主演：泰伊·谢里丹,奥利维亚·库克,本·门德尔森",2018-03-30,9.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
36,活着,"主演：葛优,巩俐,牛犇",1994-05-17(法国),9.0,//s3plus.meituan.net/v1/mss_e2821d7f0cfe4ac1bf9202ecf9590e67/cdn-prod/file:5788b470/image/loading_2.e3d934bf.png
